Index No.,구분,검색어,유의어
Tit_R_144,곡명,Chococo,"Chococo,초코코"
Tit_K_115,곡명,Chocolate,"Chocolate,초콜릿,초콜렛"
Tit_K_116,곡명,Chopin,"Chopin,쇼팽"
Tit_K_117,곡명,Chopsticks,"Chopsticks,찹스틱스"
tag_K_54,태그명,Choyoung,"Choyoung,초영"
Nam_R_63,아티스트명,Chris Brown,"Chris Brown,ChrisBrown,크리스 브라운,크리스브라운"
Nam_K_41,아티스트명,Chris Stapleton,"Chris Stapleton,ChrisStapleton,크리스 스테이플턴,크리스스테이플턴"
Tit_K_118,곡명,CHRISTIAN DIOR,"CHRISTIAN DIOR,CHRISTIANDIOR,크리스챤 디올,크리스챤디올"
Nam_R_64,아티스트명,Christian French,"Christian French,ChristianFrench,크리스찬 프렌치,크리스찬프렌치"
Tit_R_145,곡명,Christmas,"Christmas,크리스마스,Xmas,X-mas,X마스"
Nam_K_42,아티스트명,Christoph Eschenbach,"Christoph Eschenbach,ChristophEschenbach,크리스토프 에셴바흐,크리스토프에셴바흐"
Nam_R_65,아티스트명,Christopher,"Christopher,크리스토퍼"
Nam_R_66,아티스트명,CHROMANCE,"CHROMANCE,크로망스"
Tit_K_119,곡명,Chu,"Chu,츄"
tag_K_55,태그명,chuseok,"chuseok,추석"
Nam_K_43,아티스트명,Ciara,"Ciara,시에라,시애라"
Tit_K_120,곡명,Cigarette,"Cigarette,시가렛,씨가렛"
tag_K_56,태그명,Cignature,"Cignature,시그니처"
tag_K_57,태그명,Ciipher,"Ciipher,싸이퍼"
Tit_K_121,곡명,Cilla,"Cilla,실라"
Tit_R_146,곡명,Cinema,"Cinema,시네마,씨네마"
Tit_K_122,곡명,Circle,"Circle,서클,서클"
Tit_K_123,곡명,Circles,"Circles,서클스,써클스"
Tit_R_147,곡명,city,"city,시티,씨티"
Nam_R_67,아티스트명,CityNoise,"CityNoise,시티노이즈"
Nam_R_68,아티스트명,Claire Rosinkranz,"Claire Rosinkranz,ClaireRosinkranz,클레어 로신크란츠,클레어로신크란츠"
Tit_K_124,곡명,Clarity,"Clarity,클래리티"
Tit_K_125,곡명,Classic,"Classic,클래식"
Tit_R_148,곡명,claus,"claus,클로스"
Nam_R_69,아티스트명,CLC,"CLC,씨엘씨"
Nam_R_70,아티스트명,Clean Bandit,"Clean Bandit,CleanBandit,클린 밴딧,클린밴딧"
Tit_R_149,곡명,Clear,"Clear,클리어"
Tit_K_126,곡명,clementine,"clementine,클레멘타인"
Nam_R_71,아티스트명,Clinton Kane,"Clinton Kane,ClintonKane,클린턴 케인,클린턴케인"
Tit_K_127,곡명,Clock,"Clock,클락"
Tit_R_150,곡명,Clockwork,"Clockwork,클록워크,클락워크"
Tit_R_151,곡명,close,"close,클로스,클로즈"
Tit_K_128,곡명,Closed,"Closed,클로즈드"
Tit_R_152,곡명,closer,"closer,클로저,클로서"
Tit_R_153,곡명,Cloud,"Cloud,클라우드"
Tit_K_129,곡명,CLOUDS,"CLOUDS,클라우즈"
Tit_R_154,곡명,cloudy,"cloudy,클라우디"
Tit_R_155,곡명,club,"club,클럽"
Tit_K_130,곡명,Cluster,"Cluster,클러스터"
Tit_K_131,곡명,Coast,"Coast,코스트"
Tit_R_156,곡명,coaster,"coaster,코스터"
Nam_R_72,아티스트명,Coco,"Coco,코코"
Tit_R_157,곡명,Coffee,"Coffee,커피"
Tit_R_158,곡명,Coin,"Coin,코인"
Tit_K_132,곡명,Coke & Mentos,"Coke & Mentos,코크앤멘토스"
Tit_R_159,곡명,Cola,"Cola,콜라"
Tit_R_160,곡명,cold,"cold,콜드"
Nam_R_73,아티스트명,Coldplay,"Coldplay,콜드플레이,콜플"
Tit_R_161,곡명,color,"color,컬러"
Tit_R_162,곡명,Colors,"Colors,컬러스"
Tit_K_133,곡명,Come,"Come,컴"
Tit_K_134,곡명,Comics,"Comics,코믹스"
Tit_R_163,곡명,coming,"coming,커밍"
Tit_K_135,곡명,Company,"Company,컴퍼니"
Tit_K_136,곡명,Compares,"Compares,컴페어스"
Tit_R_164,곡명,Complete,"Complete,컴플리트"
Tit_K_137,곡명,Con Me,"Con Me,ConMe,콘 미,콘미"
Nam_R_74,아티스트명,Conan Gray,"Conan Gray,ConanGray,코난 그레이,코난그레이"
Tit_K_138,곡명,Concern,"Concern,컨선,컨썬"
Tit_R_165,곡명,Concerto,"Concerto,콘체르토"
Tit_K_139,곡명,Confidence,"Confidence,컨피던스"
Tit_R_166,곡명,Confusion,"Confusion,콘퓨젼,컨퓨젼,콘퓨전,컨퓨전"
Tit_R_167,곡명,Congratulations,"Congratulations,콩그레츌레이션스,콩그레출레이션스"
Nam_K_44,아티스트명,Conor Maynard,"Conor Maynard,ConorMaynard,코너 메이너드,코너메이너드"
Tit_K_140,곡명,Consequences,"Consequences,컨시퀀스"
Tit_R_168,곡명,Consolation,"Consolation,콘솔레이션,컨솔레이션"
Tit_K_141,곡명,Control,"Control,컨트롤"
Tit_R_169,곡명,CONVERSATIONS,"CONVERSATIONS,컨버세이션스,컨버세이션즈"
Tit_R_170,곡명,COOL,"COOL,쿨"
Tit_K_142,곡명,Coral,"Coral,코랄"
Nam_K_45,아티스트명,Coral J,"Coral J,CoralJ,코럴 제이,코럴제이"
Nam_R_75,아티스트명,Cosmic Boy,"Cosmic Boy,코스믹 보이"
Nam_R_76,아티스트명,Cosmo's Midnight,"Cosmo's Midnight,Cosmos Midnight,CosmosMidnight,코스모스 미드나잇,코스모스미드나잇"
Tit_R_171,곡명,Couple,"Couple,커플"
Tit_R_172,곡명,cover,"cover,커버"
Tit_K_143,곡명,Covet,"Covet,코벳"
Tit_R_173,곡명,covid19,"covid19,코로나,코비드나인틴"
Tit_R_174,곡명,cozy,"cozy,코지"
Nam_R_77,아티스트명,CRAVITY,"CRAVITY,크래비티"
Tit_R_175,곡명,Crazy,"Crazy,크레이지"
Tit_R_176,곡명,Cream,"Cream,크림"
Tit_K_144,곡명,Creations,"Creations,크리에이션스"
Tit_R_177,곡명,CREATOR,"CREATOR,크리에이터"
Tit_R_178,곡명,credit,"credit,크레딧"
Tit_K_145,곡명,crime,"crime,크라임"
Tit_R_179,곡명,Criminal,"Criminal,크리미널,크리미날"
Tit_K_146,곡명,Crocodile,"Crocodile,크로코다일"
Tit_K_147,곡명,Cross,"Cross,크로스"
Tit_R_180,곡명,CROWDED,"CROWDED,크라우디드"
Nam_R_78,아티스트명,Crush,"Crush,크러쉬"
Tit_R_182,곡명,cry,"cry,크라이"
Tit_R_183,곡명,crying,"crying,크라잉"
Tit_R_184,곡명,Crystal,"Crystal,크리스탈"
Tit_R_185,곡명,cuddle,"cuddle,커들"
Tit_K_148,곡명,Cupid,"Cupid,큐피드"
Tit_K_149,곡명,Cutthroat,"Cutthroat,컷스로트,컷스롯"
tag_K_58,태그명,D&E,"D&E,동해,은혁,슈퍼주니어"
tag_K_59,태그명,D. O.,"디오,도경수.DO"
Tit_R_187,곡명,D.D.D,"D.D.D,디디디"
tag_K_60,태그명,D1CE,"D1CE,디원스"
Tit_R_188,곡명,DA DA!,"DA DA!,dada,다다"
Tit_K_150,곡명,DAB DAB,"DAB DAB,DABDAB,답답,댑댑"
Tit_K_151,곡명,DADADA,"DADADA,다다다"
Tit_R_189,곡명,Daddy,"Daddy,대디"
tag_K_61,태그명,Dain,"Dain,다인"
Tit_K_152,곡명,Daisies,"Daisies,데이지스"
Tit_R_190,곡명,Daisy,"Daisy,데이지"
Tit_K_153,곡명,DAMAGE,"DAMAGE,데미지"
tag_K_62,태그명,Damons year,"Damons year,Damonsyear,데이먼스 이어,데이먼스이어"
tag_K_63,태그명,DAMYE,"DAMYE,담예"
Nam_R_79,아티스트명,Dan + Shay,"Dan + Shay,Dan+Shay,Dan and Shay,DanandShay,댄 앤 셰이,댄앤셰이"
Tit_R_192,곡명,Dance,"Dance,댄스"
Tit_R_193,곡명,dancing,"dancing,댄싱"
tag_K_64,태그명,DANDONG,"DANDONG,댄동"
Tit_K_154,곡명,Danger,"Danger,데인저"
Tit_R_194,곡명,Dangerous,"Dangerous,댄저러스,덴저러스"
Tit_K_155,곡명,Dank,"Dank,댕크"
Nam_K_46,아티스트명,Danna Paola,"Danna Paola,DannaPaola,다나 파올라,다나파올라"
Tit_R_195,곡명,dark,"dark,다크"
Tit_R_196,곡명,Darkside,"Darkside,다크사이드"
Tit_R_197,곡명,Darling,"Darling,달링"
Nam_K_47,아티스트명,DAUL,"DAUL,다울"
tag_K_65,태그명,David Guetta,"David Guetta,David Guetta,데이빗 게타,데이빗게타"
Tit_R_198,곡명,Dawn,"Dawn,던"
Tit_R_199,곡명,day,"day,데이"
Nam_R_80,아티스트명,DAY6,"DAY6,데이식스"
Nam_R_81,아티스트명,Daya,"Daya,데이어"
Tit_R_201,곡명,Daybreak,"Daybreak,데이브레이크"
Tit_R_202,곡명,Daydreamer,"Daydreamer,데이드리머"
Tit_K_156,곡명,Daydreams,"Daydreams,데이드림스"
Tit_R_203,곡명,days,"days,데이스,데이즈"
Tit_R_204,곡명,DAZZLE,"DAZZLE,대즐,데즐,,,"
Tit_R_205,곡명,DBDBDIB,"DBDBDIB,디비디비딥"
Tit_K_157,곡명,DDARA,"DDARA,따라"
Tit_K_158,곡명,D-day,"D-day,Dday,디데이"
tag_K_66,태그명,DDU-DU DDU-DU,"DDU-DU DDU-DU,DDUDUDDUDU,뚜두뚜두"
Tit_R_206,곡명,dead,"dead,데드"
Tit_R_207,곡명,dear,"dear,디어"
Tit_R_208,곡명,death,"death,데쓰,데스"
Tit_R_209,곡명,Decarissimo,"Decarissimo,데카리시모"
tag_R_164,태그명,December,"December,디셈버"
Tit_K_159,곡명,Decline,"Decline,디클라인"
Tit_K_160,곡명,DEEP,"DEEP,딥"
Tit_K_161,곡명,deja vu,"déjà vu,déjàvu,데자뷰,데자뷔"
Tit_R_211,곡명,Dejavu,"Dejavu,데자뷰,데자뷔"
Tit_R_212,곡명,Demente,"Demente,데멘테,디멘테"
Nam_R_82,아티스트명,Demi Lovato,"Demi Lovato,DemiLovato,데미 로바토,데미로바토"
Nam_R_83,아티스트명,DEMIAN,"DEMIAN,데미안"
Tit_K_162,곡명,Demon,"Demon,데몬"
Nam_R_84,아티스트명,Dennis Lloyd,"Dennis Lloyd,DennisLloyd,데니스 로이드,데니스로이드"
Tit_K_163,곡명,dependent,"dependent,디팬던트"
Tit_K_164,곡명,Desert,"Desert,데저트"
Tit_R_213,곡명,Destiny,"Destiny,데스티니"
tag_K_67,태그명,Deux,"Deux,듀스"
Tit_R_214,곡명,devil,"devil,데블,데빌"
tag_K_68,태그명,DEVSISTERS,"DEVSISTERS,데브시스터"
tag_K_69,태그명,D-Hack,"D-Hack,DHack,디핵"
tag_K_70,태그명,DIA,"DIA,다이아"
Tit_R_215,곡명,Diablo,"Diablo,디아블로"
Tit_R_216,곡명,diamond,"diamond,다이아몬드"
Tit_R_217,곡명,Diamonds,"Diamonds,다이아몬즈"
Tit_K_165,곡명,diary,"diary,다이어리"
tag_K_71,태그명,DIATV,"DIATV,다이아TV"
Tit_K_166,곡명,DID,"DID,디드"
Tit_R_218,곡명,die,"die,다이"
Tit_K_167,곡명,Dientes,"Dientes,디엔테스"
Tit_R_219,곡명,Diet,"Diet,다이어트"
Tit_K_168,곡명,Different,"Different,디퍼런트"
Tit_K_169,곡명,Diggity,"Diggity,디기티"
Tit_K_170,곡명,Digital,"Digital,디지털,디지털"
Nam_R_85,아티스트명,Digital Farm Animals,"Digital Farm Animals,DigitalFarmAnimals,디지털 팜 애니멀스,디지털팜애니멀스"
Nam_K_48,아티스트명,Dimitri Vegas,"Dimitri Vegas,DimitriVegas,디미티리 베가스,디미티리베가스"
Nam_R_86,아티스트명,Dimitri Vegas & Like Mike,"Dimitri Vegas,DimitriVegas,디미트리 베가스,디미트리베가스,Like Mike,LikeMike,라이크 마이크,라이크마이크"
tag_K_72,태그명,DINDIN,"DINDIN,딘딘"
Tit_K_171,곡명,Dinosaurs,"Dinosaurs,다이노소어"
tag_K_73,태그명,DIOS,"DIOS,디오스"
Nam_R_87,아티스트명,Diplo,"Diplo,디플로"
Tit_R_220,곡명,Direction,"Direction,디렉션"
Tit_K_172,곡명,DIRTY,"DIRTY,더티"
Tit_R_221,곡명,disappear,"disappear,디스어피어"
Nam_R_88,아티스트명,Disclosure,"Disclosure,디스클로저"
Tit_R_222,곡명,Disco,"Disco,디스코"
Tit_K_173,곡명,dish,"dish,디쉬"
Tit_K_174,곡명,Disney,"Disney,디즈니"
Tit_K_175,곡명,Dispatch,"Dispatch,디스패치"
Tit_R_223,곡명,DISRUPTOR,"DISRUPTOR,디스럽터"
Tit_R_224,곡명,distance,"distance,디스탄스,디스턴스"
Tit_K_176,곡명,District 9,"District 9,District9,디스트릭트 나인,디스트릭트나인"
Tit_R_225,곡명,DITTO,"DITTO,디토"
Tit_R_226,곡명,Diva,"Diva,디바"
Nam_R_89,아티스트명,DJ Khaled,"DJ Khaled,DJKhaled,DJ 칼리드,DJ칼리드,디제이 칼리드,디제이칼리드"
Nam_K_49,아티스트명,DJ Snake,"DJ Snake,DJSnake,디제이 스네이크,디제이스네이크"
Nam_K_50,아티스트명,DJ Sparrow,"DJ Sparrow,DJSparrow,디제이스패로우,디제이 스패로우"
tag_K_74,태그명,DJ Tiz,"DJ Tiz,DJTiz,디제이 티즈,디제이티즈"
tag_K_75,태그명,DKB,"DKB,다크비"
tag_K_76,태그명,DM,"DM,딩고뮤직"
Tit_R_227,곡명,DMT (Do Ma Thang),"DMT (Do Ma Thang),디엠티,두마땡,두마쌩"
Tit_K_177,곡명,DNA,"DNA,디엔에이"
Tit_K_178,곡명,Do 4 Me,"Do 4 Me,Do4Me,두포미"
Tit_R_228,곡명,DOCKING,"DOCKING,도킹"
Tit_K_179,곡명,DODODO,"DODODO,두두두"
Tit_R_229,곡명,dogs,"dogs,도그스"
Nam_R_90,아티스트명,Doja Cat,"Doja Cat,DojaCat,도자 캣,도자캣"
tag_K_77,태그명,DOKO,"DOKO,도코"
Nam_R_91,아티스트명,Dolly Parton,"Dolly Parton,돌리 파튼"
Nam_R_92,아티스트명,Dominic Fike,"Dominic Fike,DominicFike,도미닉 파이크,도미닉파이크"
Nam_K_51,아티스트명,Don Diablo,"Don Diablo,DonDiablo,돈 디아블로,돈디아블로"
tag_K_78,태그명,Don Sign.,"Don Sign.,DonSign,돈 싸인,돈싸인"
Nam_K_52,아티스트명,Don Toliver,"Don Toliver,돈 톨리버,돈톨리버"
Tit_R_230,곡명,done,"done,던,"
tag_K_79,태그명,DONGHAE,"DONGHAE,동해,슈퍼주니어,D&E"
Nam_R_93,아티스트명,DONGKIZ,"DONGKIZ,동키즈"
Tit_R_231,곡명,don't,"don't,돈트"
Tit_R_232,곡명,Donut,"Donut,도넛,도너트"
Tit_R_233,곡명,door,"door,도어"
Tit_K_180,곡명,Dopamine,"Dopamine,도파민"
Tit_R_234,곡명,Doris Terrace,"Doris Terrace,도리스 테라스"
Tit_R_235,곡명,Double,"Double,더블"
Nam_R_94,아티스트명,Dove Cameron,"Dove Cameron,DoveCameron,도브 카메론,도브카메론"
Tit_R_236,곡명,down,"down,다운"
tag_K_80,태그명,DOYOUNG,"DOYOUNG,도영"
Nam_R_95,아티스트명,DPR LIVE,"DPR LIVE,DPRLIVE,디피알 라이브,디피알라이브"
Tit_R_237,곡명,Dr.,"Dr.,닥터"
Tit_K_181,곡명,Drama,"Drama,드라마"
Tit_R_238,곡명,DRAMARAMA,"DRAMARAMA,드라마라마"
Tit_K_182,곡명,DRAWBACK,"DRAWBACK,드로우백"
Tit_R_239,곡명,dream,"dream,드림"
tag_K_81,태그명,Dreamcatcher,"Dreamcatcher,드림캐쳐"
Tit_K_183,곡명,Dreamer,"Dreamer,드리머"
Nam_K_53,아티스트명,Dreamer Boy,"Dreamer Boy,DreamerBoy,드리머보이,드리머 보이"
Tit_R_240,곡명,Dreaming,"Dreaming,드리밍"
Tit_K_184,곡명,Dreamlet,"Dreamlet,드림렛"
tag_K_82,태그명,DreamNote,"DreamNote,드림노트"
Tit_K_185,곡명,DRESS,"DRESS,드레스"
Nam_K_54,아티스트명,dress,"dress,드레스"
Tit_R_241,곡명,drifting,"drifting,드리프팅"
Tit_K_186,곡명,Drinks,"Drinks,드링크스"
Tit_R_242,곡명,Drive,"Drive,드라이브"
Tit_K_187,곡명,drivers,"drivers,드라이버스"
Tit_R_243,곡명,DROP,"DROP,드롭,드랍"
Tit_R_244,곡명,Drug,"Drug,드러그,드럭"
Nam_K_55,아티스트명,D'tour,"D'tour,디투어,dtour"
Nam_R_96,아티스트명,Dua Lipa,"Dua Lipa,DuaLipa,두아 리파,두아리파"
Tit_R_245,곡명,dumb,"dumb,덤"
Tit_K_188,곡명,DUMB DUMB,"DUMB DUMB,DUMBDUMB,덤 덤,덤덤"
Tit_R_246,곡명,DUN,"DUN,던"
Nam_K_56,아티스트명,DVBBS,"DVBBS,덥스"
Tit_R_247,곡명,DWAY!,"DWAY!,DWAY,디웨이"
Tit_R_248,곡명,Dynamite,"Dynamite,다이나마이트,다이너마이트"
Tit_K_189,곡명,Eagle,"Eagle,이글"
Tit_K_190,곡명,EARFQUAKE,"EARFQUAKE,어쓰퀘이크,얼쓰퀘이크"
Tit_R_249,곡명,earth,"earth,어쓰,얼쓰"
Tit_K_191,곡명,Easier,"Easier,이지어"
Tit_K_192,곡명,East,"East,이스트"
Tit_R_250,곡명,easy,"easy,이지"
Tit_R_251,곡명,ECHO,"ECHO,에코"
Tit_K_193,곡명,ECLIPSE,"ECLIPSE,이클립스"
tag_K_83,태그명,Ecobridge,"Ecobridge,에코브릿지"
Nam_R_97,아티스트명,Ed Sheeran,"Ed Sheeran,EdSheeran,에드 시런,에드시런"
Nam_R_98,아티스트명,Eddie Benjamin,"Eddie Benjamin,EddieBenjamin,에디 벤자민,에디벤자민"
Tit_K_194,곡명,Eden,"Eden,에덴"
tag_R_165,태그명,EDM,"EDM,이디엠"
Tit_R_253,곡명,Eeny Meeny,"Eeny Meeny,이니미니"
Tit_R_254,곡명,Egoist,"Egoist,에고이스트"
Tit_K_195,곡명,Egotism,"Egotism,에고티즘"
Nam_K_57,아티스트명,El Alfa,"ElAlfa,엘 알파,엘알파"
Nam_R_99,아티스트명,EL Rune,"EL Rune,ELRune,엘 룬,엘룬"
Tit_K_196,곡명,EL TORNADO,"EL TORNADO,ELTORNADO,엘토네이도,엘 토네이도"
tag_K_84,태그명,E'LAST,"E'LAST,ELAST,엘라스트"
Tit_K_197,곡명,Electric,"Electric,일렉트릭"
Tit_K_198,곡명,Elena Coda,"Elena Coda,ElenaCoda,엘레나 코다,엘레나코다"
Tit_R_255,곡명,Elevator,"Elevator,엘리베이터"
Nam_R_100,아티스트명,Ella Eyre,"Ella Eyre,EllaEyre,엘라 에어,엘라에어"
Nam_R_101,아티스트명,Ellie Goulding,"Ellie Goulding,EllieGoulding,엘리 굴딩,엘리굴딩"
Nam_K_58,아티스트명,Ellie Goulding,"Ellie Goulding,EllieGoulding,엘리 굴딩,엘리굴딩"
tag_K_85,태그명,ELRIS,"ELRIS,앨리스"
Nam_K_59,아티스트명,Elton John,"Elton John,EltonJohn,엘튼 존,엘튼존"
Tit_K_199,곡명,EMO,"emo,이모"
Tit_R_256,곡명,Empty,"Empty,엠티,엠프티"
Tit_K_200,곡명,ENCORE,"ENCORE,앙코르"
Tit_K_201,곡명,End,"End,엔드"
Tit_R_257,곡명,ending,"ending,엔딩"
Tit_R_258,곡명,enermy,"enermy,에너미"
Tit_R_259,곡명,ENFP,"ENFP,MBTI"
Tit_K_202,곡명,Englishman,"Englishman,잉글리쉬맨"
Nam_R_102,아티스트명,ENHYPEN,"ENHYPEN,엔하이픈"
Tit_K_203,곡명,enough,"enough,이너프"
Tit_K_204,곡명,Enzo,"Enzo,엔조"
Tit_K_205,곡명,EPILOGUE,"EPILOGUE,에필로그"
tag_K_86,태그명,Eric Bellinger,"Eric Bellinger,EricBellinger,에릭 벨린저,에릭벨린저"
Tit_R_261,곡명,Eros,"Eros,에로스"
Tit_R_262,곡명,error,"error,에러"
Tit_R_263,곡명,ESCAPE,"ESCAPE,이스케이프"
Tit_R_264,곡명,ESFJ,"ESFJ,MBTI"
Tit_R_265,곡명,ESTJ,"ESTJ,MBTI"
Tit_R_266,곡명,ESTP,"ESTP,MBTI"
Tit_K_206,곡명,Eternal,"Eternal,이터널"
Tit_R_267,곡명,Eternally,"Eternally,이터널리"
tag_K_87,태그명,EUNHA,"EUNHA,은하"
tag_K_88,태그명,EUNHYUK,"EUNHYUK,은혁,슈퍼주니어,D&E"
Nam_K_60,아티스트명,EVEE,"EVEE,이브"
Tit_R_268,곡명,everbody,"everbody,에브리바디"
tag_K_89,태그명,EVEREST,"EVEREST,에베레스트"
Tit_K_207,곡명,everything,"everything,에브리띵,에브리씽"
Tit_K_208,곡명,Everytime,"Everytime,애브리타임"
Tit_R_269,곡명,Excalibur,"Excalibur,엑스칼리버"
Tit_K_209,곡명,Excuse,"Excuse,익스큐즈 "
Tit_R_270,곡명,Excuses,"Excuses,익스큐지스,엑스큐지스,익스큐시스,엑스큐시스"
Tit_R_271,곡명,exhale,"exhale,엑스헤일"
Nam_R_103,아티스트명,EXID,"EXID,이엑스아이디"
Tit_K_210,곡명,Exist,"Exist,이그지스트"
Tit_R_272,곡명,EXIT,"EXIT,엑시트,엑싯"
Nam_R_104,아티스트명,EXN,"EXN,이엑센,을씨년"
Nam_R_105,아티스트명,EXO,"EXO,엑소"
Tit_K_211,곡명,Expansion,"Expansion,익스펜션"
Tit_R_273,곡명,eye,"eye,아이"
Tit_K_212,곡명,eyes,"eyes,아이스,아이즈"
Nam_K_61,아티스트명,F.able (페이블),"F.able,페이블,Fable"
Tit_R_274,곡명,Face,"Face,페이스"
Tit_R_275,곡명,facetime,"facetime,페이스타임"
Tit_R_276,곡명,Fadeaway,"Fadeaway,페이드어웨이"
Tit_K_213,곡명,Fair,"Fair,페어"
Tit_K_214,곡명,Fairy,"Fairy,페어리"
Tit_R_277,곡명,faith,"faith,페이스"
Tit_R_278,곡명,Fake,"Fake,페이크"
tag_K_90,태그명,Fakering,"Fakering,페이크링"
Tit_R_279,곡명,fall,"fall,폴"
Nam_R_106,아티스트명,Fall Out Boy,"Fall Out Boy,FallOutBoy,폴 아웃 보이,폴아웃보이"
Tit_R_280,곡명,Falling,"Falling,폴링"
Tit_K_215,곡명,Fancy,"Fancy,팬시,펜시"
Tit_R_282,곡명,FANTASIA,"FANTASIA,판타지아,환타지아"
Tit_K_216,곡명,FANTASTIC,"FANTASTIC,판타스틱"
Tit_R_283,곡명,Fantasy,"Fantasy,판타지,환타지"
Nam_R_107,아티스트명,Faouzia,"Faouzia,파우지아"
Tit_K_217,곡명,Far,"Far,파"
Tit_K_218,곡명,Farewell,"Farewell,페어웰"
Tit_K_219,곡명,Farm,"Farm,팜"
Nam_R_108,아티스트명,Farruko,"Farruko,파루코"
Tit_R_284,곡명,Fault,"Fault,폴트"
Tit_R_285,곡명,Favorite,"Favorite,페이보릿,페이버릿"
Tit_R_286,곡명,fear,"fear,피어"
Tit_R_287,곡명,Feather,"Feather,페더"
Tit_K_220,곡명,Feed,"Feed,피드"
Tit_R_288,곡명,FEEDBACK,"FEEDBACK,피드백"
Tit_R_289,곡명,Feel,"Feel,필"
Tit_R_290,곡명,feeling,"feeling,필링"
Tit_K_221,곡명,Feels,"Feels,필스,필즈"
Tit_R_291,곡명,feet,"feet,피트,핏"
tag_K_91,태그명,Felly,"Felly,펠리"
Tit_K_222,곡명,Ferris,"Ferris,페리스"
Tit_K_223,곡명,Festival,"Festival,페스티벌"
Tit_K_224,곡명,FEVER,"FEVER,피버"
Tit_K_225,곡명,Field,"Field,필드"
Tit_R_292,곡명,FIESTA,"FIESTA,피에스타"
Nam_R_109,아티스트명,Fifth Harmony,"Fifth Harmony,FifthHarmony,피프스 하모니,피프스하모니"
Tit_K_226,곡명,Fifty,"Fifty,피프티"
Tit_R_293,곡명,fight,"fight,파이트"
Tit_K_227,곡명,Fill,"Fill,필"
Tit_R_294,곡명,film,"film,필름"
Tit_R_295,곡명,finally,"finally,파이널리"
Tit_K_228,곡명,FIND,"FIND,파인드"
Tit_R_296,곡명,fine,"fine,파인"
Tit_R_297,곡명,FINGERTIP,"FINGERTIP,핑거팁"
Tit_K_230,곡명,Fire,"Fire,파이어"
Tit_K_231,곡명,Firework,"Firework,파이어웍스"
Tit_R_298,곡명,first,"first,파이어"
Tit_K_232,곡명,Fish,"Fish,피쉬"
Tit_R_299,곡명,FIVE,"FIVE,파이브"
Tit_K_233,곡명,Flame,"Flame,플레임,플래임"
Tit_K_234,곡명,FLASH,"FLASH,플래시"
tag_R_125,태그명,FLEX,"FLEX,플렉스"
tag_K_92,태그명,Floody,"Floody,플루디"
Nam_K_62,아티스트명,Flospoon,"Flospoon,플로스푼"
Tit_R_302,곡명,flower,"flower,플라워"
Tit_R_303,곡명,fly,"fly,플라이"
Tit_R_304,곡명,FOCUS,"FOCUS,포커스"
Nam_R_110,아티스트명,Folded Dragons,"Folded Dragons,FoldedDragons,폴더드 드래곤즈,폴더드드래곤즈"
Tit_K_235,곡명,Follow,"Follow,팔로우"
Nam_K_63,아티스트명,Foo Fighters,"Foo Fighters,FooFighters,푸 파이터스,푸파이터스"
Tit_K_236,곡명,Food,"Food,푸드"
Tit_R_305,곡명,fool,"fool,풀"
Tit_R_306,곡명,Foolish,"Foolish,풀리쉬,풀리시"
Tit_K_237,곡명,Foot,"Foot,풋"
Tit_R_307,곡명,for,"for,포"
Tit_R_308,곡명,forest,"forest,포레스트"
Tit_R_309,곡명,forever,"forever,포에버,폴에버"
Tit_R_310,곡명,forget,"forget,포겟"
Tit_R_311,곡명,fortune,"fortune,포츈"
Nam_R_111,아티스트명,Foster The People,"Foster The People,FosterThePeople,포스터 더 피플,포스터더피플"
Nam_R_112,아티스트명,Fousheé,"Fousheé,Foushee,포우쉐"
Tit_K_238,곡명,Frail,"Frail,프레일"
Tit_K_239,곡명,Frame,"Frame,프레임"
Tit_R_312,곡명,franchise,"franchise,프랜차이즈"
Tit_K_240,곡명,Frankenstein,"Frankenstein,프랑케슈타인,프랑켄스타인"
Tit_K_241,곡명,Freaking,"Freaking,프리킹"
Tit_R_313,곡명,free,"free,프리"
Tit_R_314,곡명,Freezing,"Freezing,프리징"
tag_K_93,태그명,FreezyBone,"FreezyBone,프리지본"
Nam_R_113,아티스트명,French Montana,"French Montana,FrenchMontana,프렌치 몬타나,프렌치몬타나"
tag_K_94,태그명,Friday,"Friday,프라이데이"
Tit_R_315,곡명,friends,"friends,프렌즈"
Tit_K_242,곡명,Frog,"Frog,프로그"
Tit_R_316,곡명,from,"from,프롬"
tag_K_95,태그명,Fromis_9,"Fromis_9,Fromis9,프로미스 나인,프로미스나인"
Tit_R_317,곡명,front,"front,프론트"
Tit_K_243,곡명,Frost,"Frost,프로스트"
Tit_K_244,곡명,FRUITY,"FRUITY,프루티"
Tit_K_245,곡명,Fuck,"Fuck,퍽"
Tit_K_246,곡명,Fulanito,"Fulanito,풀라니토"
Tit_R_318,곡명,FUN,"FUN,펀"
tag_R_7,태그명,fun,"fun,펀,재미"
Tit_R_319,곡명,Funk,"Funk,펑크"
Nam_K_64,아티스트명,Funk LeBlanc,"Funk LeBlanc,FunkLeBlanc,펑크 르블랑,펑크르블랑"
Tit_R_320,곡명,Funny,"Funny,퍼니"
Tit_K_247,곡명,future,"future,퓨처,퓨쳐"
tag_K_96,태그명,FX,"FX,함수진"
Tit_R_321,곡명,G.B.T.B.,"G.B.T.B.,지비티비"
Nam_K_65,아티스트명,G.Brown,"G.Brown,Gbrown,지브라운,지 브라운"
