Index No.,구분,검색어,유의어
Nam_R_25,아티스트명,Anne-Marie,"Anne-Marie,AnneMarie,앤 마리,앤마리"
Tit_R_28,곡명,Anniversary,"Anniversary,애니버서리,에니버서리"
Tit_K_23,곡명,annoying,"annoying,어노잉"
Tit_K_24,곡명,Another,"Another,어나더"
Tit_R_29,곡명,Answer,"Answer,앤서,,,,"
Nam_R_26,아티스트명,Ant Saunders,"Ant Saunders,AntSaunders,앤트 사운더스,앤트사운더스"
Tit_K_25,곡명,ANTI,"ANTI,안티"
Tit_K_26,곡명,Anticlimax,"Anticlimax,안티클라이맥스,안티클라이막스"
Tit_R_30,곡명,Antidote,"Antidote,안티도트"
Tit_K_27,곡명,Antifreeze,"Antifreeze,안티프리즈"
tag_K_12,태그명,antigravity,"antigravity,안티그래비티"
Tit_K_28,곡명,Antihero,"Antihero,안티히어로"
Tit_K_29,곡명,Antisocial,"Antisocial,안티소셜"
Tit_R_31,곡명,Anxiety,"Anxiety,앵자이어티"
Tit_R_32,곡명,Anxious,"Anxious,앵셔스"
Tit_R_33,곡명,Anycall,"Anycall,애니콜"
Tit_R_34,곡명,anymore,"anymore,애니모어"
Tit_K_30,곡명,Anyone,"Anyone,애니원"
Tit_K_31,곡명,Anything,"Anything,애니띵,애니씽"
Tit_R_35,곡명,anytime,"anytime,애니타임"
Tit_R_36,곡명,anywhere,"anywhere,애니웨어"
Nam_K_11,아티스트명,AOA,"AOA,에이오에이"
Tit_K_32,곡명,apartment,"apartment,아파트먼트"
Nam_R_27,아티스트명,APOKI,"APOKI,아뽀키,아포키"
Tit_R_37,곡명,Apollo,"Apollo,아폴로"
Tit_R_38,곡명,Apple,"Apple,애플"
tag_K_13,태그명,APRIL,"APRIL,에이프릴"
tag_K_14,태그명,APRO,"APRO,아프로"
Tit_K_33,곡명,Arcade,"Arcade,아케이드"
Nam_K_12,아티스트명,Ariana Grande,"Ariana Grande,Ariana Grande,아리아나 그란데,아리아나그란데"
Tit_K_34,곡명,Ariel,"Ariel,아리엘"
Nam_R_28,아티스트명,Aries,"Aries,에리즈"
Nam_K_13,아티스트명,Arin Ray,"Arin Ray,ArinRay,아린 레이,아린레이"
Tit_K_35,곡명,Around,"Around,어라운드"
Tit_R_39,곡명,arrow,"arrow,애로우"
tag_K_15,태그명,ART,"ART,아트"
Tit_R_40,곡명,Artist,"Artist,아티스트"
Tit_R_41,곡명,ASAP,"ASAP,as soon as possible,아삽"
Nam_R_29,아티스트명,ASH ISLAND,"ASH ISLAND,ASHISLAND,애쉬 아일랜드,애쉬아일랜드"
Tit_R_42,곡명,ashby,"ashby,애쉬비,애시비"
tag_K_16,태그명,Ashley,"Ashley,애슐리"
Nam_K_14,아티스트명,Ashnikko,"Ashnikko,아시니코"
Nam_R_30,아티스트명,ASTRO,"ASTRO,아스트로"
Tit_R_43,곡명,Astronaut,"Astronaut,애스트로넛,아스트로넛"
Tit_K_36,곡명,Astronomy,"Astronomy,아스트로노미"
Tit_R_44,곡명,Atlantis,"Atlantis,아틀란티스"
Nam_R_31,아티스트명,ATO6,"ATO6,에이투식스"
Tit_R_45,곡명,attack,"attack,어택"
Tit_R_46,곡명,attitude,"attitude,애티튜드"
Nam_R_32,아티스트명,Au/Ra,"Au/Ra,AuRa,오라,아우라"
Nam_R_33,아티스트명,Audrey Mika,"Audrey Mika,AudreyMika,오드리 미카,오드리미카"
Nam_R_34,아티스트명,AUDREY NUNA,"AUDREY NUNA,AUDREYNUNA,오드리 누나,오드리누나"
Tit_R_47,곡명,AUTOMATA,"AUTOMATA,오토마타"
Tit_K_37,곡명,autopilot,"autopilot,오토파일럿"
Tit_R_48,곡명,Autumn,"Autumn,어텀,오톰"
Nam_R_35,아티스트명,Ava Max,"Ava Max,AvaMax,에이바 맥스,에이바맥스"
Tit_K_38,곡명,Available,"Available,어베일러블"
Tit_K_39,곡명,Avalanche,"Avalanche,아발란체"
Tit_K_40,곡명,AVENUE,"AVENUE,에비뉴"
Nam_R_36,아티스트명,Awa,"Awa,아와"
Tit_R_49,곡명,Away,"Away,어웨이"
Tit_R_50,곡명,AYA,"AYA,아야"
Nam_R_37,아티스트명,ayokay,"ayokay,에이요케이"
Nam_K_15,아티스트명,b!ni,"b!ni,비니"
Tit_R_51,곡명,B.A.D,"B.A.D,BAD,배드"
Nam_K_16,아티스트명,B.L.E,"B.L.E,BLE,비엘이"
Nam_R_38,아티스트명,B1A4,"B1A4,비원에이포"
Tit_K_41,곡명,BAAM,"BAAM,뱀"
Tit_R_52,곡명,baby,"baby,베이비"
Nam_K_17,아티스트명,Baby Keem,"Baby Keem,BabyKeem,베이비킴,베이비 킴"
Tit_K_42,곡명,BACK,"BACK,백"
Tit_K_43,곡명,Backyard,"Backyard,백야드"
