구분,검색어,유사어
신규 등록,Aminé,"Aminé,아미네,Amine"
신규 등록,Beyoncé,"Beyoncé,Beyonce,비욘세"
신규 등록,CHAI,"CHAI,차이,이수정"
신규 등록,Fousheé,"Fousheé,Foushee"
신규 등록,Hisaishi Joe,"Hisaishi Joe,히사이시 조"
신규 등록,Johnny Orlando,"Johnny Orlando,조니 올란도"
신규 등록,Johnny Stimson,"Johnny Stimson,조니 스팀슨"
신규 등록,Marc E. Bassy,"Marc E. Bassy,마크 이 베시,마크 이 배시"
신규 등록,New Hope Club,"New Hope Club,뉴 호프 클럽"
신규 등록,Queen,"Queen,퀸"
신규 등록,Swae Lee,"Swae Lee,스웨 리"
신규 등록,Tiësto,"Tiësto,타애스토,티에스토,티에스토"
